Values,AvgPrice
3713734,33.31
32440,626.56
967,80.47
15138,179.79
74151,168.98
7688,262.46
206358,29.64
38938,134.77
141562,36.06
1153,5.51
24000,25.58
8748,4.97
6580,3.91
2843,32.82
476,8907.4
296103,700.89
237177,101
370593,507.26
824655,1200.87
2240909,234.22
17480,749.31
92471,681.03
17810869,233.88
3702476,123.97
3273684,69.96
96192,865.38
849510,147.57
8647720,607.63
145293,57.24
108535,314.69
11,426.27
7802,582.89
32831,18.26
289907,642.65
1570,414.71
1970951,2161.8
569849,139.61
8045,2489.13
1028,5.5
3224771,754.05
7543,145.22
265258,277.07
5051,28.98
161348,59.05
12361,24.6
225556,64.97
272916,125.82
4236,4.55
319032,15.33
9400,326.93
5819,206.11
1000,625
837,323.55
56320,954.22
173134,30.96
145226,241.19
186,8.3
41198,632.29
40467,15.95
800,5302.75
24049,570.04
3840,545.13
20648,299.24
30326,15.19
6061,301.84
620,32.99
82553,150.8
101640,607.4
397477,170.7
12221,78.94
366029,131.88
15000,47.76
6000,44.8
4080359,812.15
6759,42.98
115027,35.6
97870,278.97
116,1.3
57,1.35
8086,47.69
192584,1727.41
885761,226.61
15000,32.1
4655,227.14
18946,5.69
37527,346.52
23374,168.74
1142626,61.31
70290,85.74
45216,16.85
285735,106.85
2577258,46.37
3160,1026.55
1469,6385.48
6255,67.49
635393,4.23
1864,0.87
4190583,37.81
33446,240.56
1276937,583.21
1414,2734.67
21909,407.92
13223,5.27
163616,76.73
1350711,1406.25
23778,200.48
410632,17.97
146454,311.6
5195,326.31
917175,15.94
197863,9.51
1267102,283.98
283138,4056.09
10365,66.75
32481,208.06
50550,99.34
7640102,70.6
452638,60.84
33526561,2.79
377541,10.82
264,368.12
181,2.26
277906,220.62
3830064,681.56
3600,102.67
3125148,2.32
3397275,31.2
5857,2.02
465,284.03
46,1152.2
57,383.13
1190469,10.89
389604,118.13
4019669,0.09
39224,335.03
19897,453.32
16278,688.51
1600,55
4553798,28.41
8648,41.35
19268,11.09
731357,864.74
24000,25.7
190189,24.54
4510,9.85
32731,772.76
40596440,235.26
13064,10.3
45971,2491.44
22433,48.57
25200,209.91
3023,1164.67
40004,136.57
1339750,183.25
594,2313.53
86240,5.49
251068,3.75
24625,77.53
1642817,46.23
64723,3.99
19524,8.37
1342466,16.41
47677,282.46
12562,1290.68
5178,1388.51
13144,83.77
65127,45.88
258330,459.98
116303,54.23
17134,479.12
13235,10.92
3458640,0.09
6188,202.57
799418,0.85
294657,50.04
47410,64.61
18001,2660.2
2566,846.79
1144859,572.98
49783,284.8
12000,56.55
29386,114.1
1340,2807.15
19066,1880.5
37312,1006.75
410822,331.31
3112,6906.35
198201,111.57
2638,22.01
3000,170.05
22392,36.01
17878,530.32
5790,46.91
634477,152.7
694830,134.2
150,155.08
1431867,62.77
379,2988.56
2547,1040.44
165970,1453.89
11251,60.86
650594,74.1
16633,1.21
876,65
7864825,321.31
1609722,575.82
15094,287.54
1500,70
1,4.15
84081,351.13
10641,44.19
23,1.2
7095,41.12
62814786,224.65
2217261,448.97
18060,7.9
143625,37.38
142823,25.77
130494,0.73
770,38.25
99963,280.76
36864,73.05
22056,8.44
6000,30
1981,143.33
391,40.88
12000,273.49
13838,254.02
14194,102.69
21180,1446.77
18060,0.93
