SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
AUTOIND, EQ, 26-Sep-2018,70.6,74,74,70.45,71.9,71.55,72.24,90419,65.32,1086,42464,46.96
AUTOLITIND, EQ, 26-Sep-2018,48.85,49.45,50.5,45,45.05,46.35,47.33,29616,14.02,247,24237,81.84
AVADHSUGAR, EQ, 26-Sep-2018,521.65,540.5,546.8,482.2,485.05,492.8,513.94,515817,2651.01,18572,119779,23.22
AVANTIFEED, EQ, 26-Sep-2018,408.3,411.95,418.35,406,410.4,408.9,410.95,644550,2648.75,12252,453488,70.36
AVG, SM, 26-Sep-2018,80.8,77,82,77,82,82,79.5,2400,1.91,2,1200,50
AVTNPL, EQ, 26-Sep-2018,28.3,28.25,29.2,28,28.5,28.5,28.7,31597,9.07,195,21760,68.87
AXISBANK, EQ, 26-Sep-2018,614.35,619,624.35,612.05,617.65,617.45,618.75,8725133,53987,107346,3230211,37.02
AXISCADES, EQ, 26-Sep-2018,84.8,85.05,88.8,85.05,86.8,86.75,86.5,32098,27.76,416,22173,69.08
AXISGOLD, EQ, 26-Sep-2018,2703.4,2700,2716,2678.1,2678.1,2678.1,2694.99,547,14.74,56,338,61.79
AXISNIFTY, EQ, 26-Sep-2018,1120.39,1132.17,1132.17,1115.42,1125.76,1125.76,1125.36,116,1.31,7,105,90.52
AYMSYNTEX, EQ, 26-Sep-2018,37.05,36.3,38,36.3,37,37.1,37.2,3539,1.32,34,2944,83.19
BAFNAPHARM, EQ, 26-Sep-2018,15.4,17.25,17.25,15,15.6,15.25,15.46,23185,3.58,120,13443,57.98
BAGFILMS, BE, 26-Sep-2018,4.8,4.9,5,4.6,4.95,4.85,4.82,83524,4.02,221, -, -
BAJAJ-AUTO, EQ, 26-Sep-2018,2788.7,2796.5,2808.75,2743.6,2773.35,2773.3,2770.72,494874,13711.55,21337,259655,52.47
BAJAJCORP, EQ, 26-Sep-2018,444.2,449.6,463,434,435.6,437.65,442.66,62240,275.51,5742,19038,30.59
BAJAJELEC, EQ, 26-Sep-2018,503.05,505,511,478.65,491,491.9,495.19,468936,2322.14,12770,257872,54.99
BAJAJFINSV, EQ, 26-Sep-2018,6185.65,6207,6289,6188,6205,6212.55,6233.31,164588,10259.28,24835,54467,33.09
BAJAJHIND, EQ, 26-Sep-2018,10.2,10.85,10.85,9.25,9.5,9.4,10.12,21343540,2159.76,19512,6570533,30.78
BAJAJHLDNG, EQ, 26-Sep-2018,3080.8,3068.25,3109.85,3020,3033,3095.85,3084.55,35026,1080.39,5825,26291,75.06
BAJFINANCE, EQ, 26-Sep-2018,2299.2,2329,2353.95,2295.1,2299.05,2315.55,2329.47,2728756,63565.43,121960,1082430,39.67
BALAJITELE, EQ, 26-Sep-2018,95.25,95.9,101.1,95.75,100.5,100.1,97.88,115123,112.68,644,102497,89.03
BALAMINES, EQ, 26-Sep-2018,499.6,513.9,517.15,503,506.5,506.95,508.64,13464,68.48,1110,7019,52.13
BALKRISHNA, EQ, 26-Sep-2018,57.25,57.5,58.15,55.65,56,56.5,56.48,14327,8.09,290,5766,40.25
BALKRISIND, EQ, 26-Sep-2018,1094,1094.1,1111,1088.6,1101,1104.6,1098.37,318022,3493.06,22886,85083,26.75
BALLARPUR, EQ, 26-Sep-2018,7.8,7.8,8.1,7.55,7.6,7.6,7.79,991230,77.2,990,694814,70.1
BALMLAWRIE, EQ, 26-Sep-2018,196.35,199.25,200,187.3,191,190.75,192.12,89825,172.57,2247,51700,57.56
BALPHARMA, EQ, 26-Sep-2018,89.3,90.3,93.8,89,91.4,90.6,91.67,50670,46.45,1003,18603,36.71
BALRAMCHIN, EQ, 26-Sep-2018,82.25,85.8,86.4,76.55,78.15,77.85,81.53,40123867,32712.63,143604,5403380,13.47
BANARBEADS, EQ, 26-Sep-2018,49,48.3,50,47.95,47.95,47.95,48.54,1042,0.51,22,911,87.43
BANARISUG, EQ, 26-Sep-2018,1668.3,1668,1742,1625.1,1650,1652.05,1689.68,2283,38.58,387,1378,60.36
BANCOINDIA, EQ, 26-Sep-2018,201.7,202.7,207.45,200.55,202.05,202.4,204,33040,67.4,2129,14197,42.97
BANDHANBNK, EQ, 26-Sep-2018,567.05,572,575.95,548,551.9,552.6,558.09,625749,3492.21,29358,252914,40.42
BANG, EQ, 26-Sep-2018,48.7,49,53,47.75,51.3,52.35,51.07,56878,29.05,361,21223,37.31
BANKBARODA, EQ, 26-Sep-2018,109.45,110.95,111.25,107.4,108.85,109.15,109.32,25692758,28088.52,76758,3251050,12.65
BANKBEES, EQ, 26-Sep-2018,2589.82,2600,2600.78,2566.35,2585.59,2580.19,2585.81,2143,55.41,256,856,39.94
BANKINDIA, EQ, 26-Sep-2018,84.25,84.7,85.4,81.75,83.8,83.85,83.84,8849865,7419.29,25879,438478,4.95
BANSAL, SM, 26-Sep-2018,84.25,90,90.05,70.5,74.9,73.3,80.05,47000,37.62,40,24000,51.06
BANSWRAS, EQ, 26-Sep-2018,65.85,64.95,70.8,64.95,69.1,70,69.45,4901,3.4,110,2499,50.99
BARTRONICS, EQ, 26-Sep-2018,7.65,7.75,7.85,7.3,7.5,7.55,7.54,41487,3.13,96,27710,66.79
BASF, EQ, 26-Sep-2018,1791.05,1809,1835.3,1772.2,1775,1785.95,1802.19,3442,62.03,551,1971,57.26
BASML, EQ, 26-Sep-2018,208.9,205.05,206,205,205,205,205.26,602,1.24,13,494,82.06
BATAINDIA, EQ, 26-Sep-2018,960.85,966,967.85,948.5,954.1,956.5,955.82,603206,5765.54,15275,132898,22.03
BAYERCROP, EQ, 26-Sep-2018,4360.55,4361.05,4450,4215.95,4400,4372.25,4315.97,6597,284.72,2671,2981,45.19
BBL, EQ, 26-Sep-2018,1256.75,1300,1300,1260.1,1266.95,1272.65,1275.56,4973,63.43,682,2506,50.39
BBTC, EQ, 26-Sep-2018,1442.8,1463.45,1481.75,1411.5,1418,1426.9,1450.03,270758,3926.07,11950,74695,27.59
BCONCEPTS, SM, 26-Sep-2018,34,35.5,35.5,33,33,33,34.33,9000,3.09,3,6000,66.67
BDL, EQ, 26-Sep-2018,299.25,299,307,298.7,302,300.75,302.08,17525,52.94,1064,9713,55.42
BEARDSELL, EQ, 26-Sep-2018,32.65,34.45,34.45,31.1,33.4,31.3,31.89,1046,0.33,34,765,73.14
BEDMUTHA, EQ, 26-Sep-2018,25.65,24.65,25.35,24.4,24.75,24.8,24.71,44500,10.99,132,30219,67.91
BEL, EQ, 26-Sep-2018,76.2,78.7,86.3,78.25,84.4,84.2,83.8,47334109,39664.91,172796,10887894,23
BEML, EQ, 26-Sep-2018,646.45,648,672.75,642.15,662,661.2,661.67,1052639,6965.03,27199,77377,7.35
BEPL, EQ, 26-Sep-2018,129.65,131.4,136.85,128.4,131.5,131.1,132.4,558441,739.35,7003,217238,38.9
BERGEPAINT, EQ, 26-Sep-2018,298.5,301.05,305.95,292.9,296,295.65,297.45,925942,2754.23,16399,297534,32.13
BETA, SM, 26-Sep-2018,77.1,83.35,84,80,81,80.5,82.25,13600,11.19,17,10400,76.47
BFINVEST, EQ, 26-Sep-2018,298.55,300.9,313.3,292,305,303.25,304.13,226171,687.86,7596,26325,11.64
BFUTILITIE, EQ, 26-Sep-2018,262.95,265.3,268.7,256.1,258.85,260.1,262.82,287543,755.71,8853,61454,21.37
BGLOBAL, BE, 26-Sep-2018,2.45,2.4,2.55,2.35,2.55,2.55,2.35,11591,0.27,17, -, -
BGRENERGY, EQ, 26-Sep-2018,61.7,61,63.25,61,62,62.25,62.25,35640,22.19,683,17909,50.25
